Technology,JavaScript,Game Development,Game Design,Frontend Game Developer,B.Tech Computer Science
Technology,C++,Machine Learning,Chess,ML Engineer,B.Tech Computer Science
Technology,Python,Data Engineering,Data Visualization,Data Engineer,B.Tech Computer Science
Technology,Ruby,Rails Development,Open Source Contribution,Web Developer,B.Tech Computer Science
Technology,SQL,Database Management,Reading,Database Administrator,B.Tech IT
Technology,Python,Web Scraping,Internet Research,Web Scraping Engineer,B.Tech Computer Science
Technology,Java,Cloud Applications,Networking,Cloud Developer,B.Tech Computer Science
Technology,C#,Desktop Applications,Games,Software Developer,B.Tech Computer Science
Technology,JavaScript,React,UI Design,Frontend Developer,B.Tech Computer Science
Technology,Cybersecurity,Ethical Hacking,Puzzles,Cybersecurity Analyst,B.Tech Computer Science or Cybersecurity
Technology,Python,Penetration Testing,Capture The Flag,Cybersecurity Engineer,B.Tech Computer Science or Cybersecurity
Technology,Networking,Troubleshooting,Gaming,Network Administrator,B.Tech IT or Networking
Technology,Python,Data Analytics,Excel,Data Analyst,B.Tech Computer Science or Statistics
Technology,SQL,Data Warehousing,Data Mining,Data Warehouse Engineer,B.Tech IT or Computer Science
Technology,DevOps,Docker,Automation,DevOps Engineer,B.Tech Computer Science or IT
Technology,Kubernetes,Cloud Infrastructure,Tech Gadgets,DevOps Engineer,B.Tech Computer Science
Technology,Python,Robotic Process Automation,Automation,Automation Developer,B.Tech IT or Computer Science
Technology,Blockchain,Smart Contracts,Coding,Blockchain Developer,B.Tech Computer Science
Technology,Solidity,Decentralized Apps,Crypto,Blockchain Engineer,B.Tech Computer Science
Technology,AI,Machine Learning,Robotics,ML Engineer,B.Tech Computer Science
Technology,Python,Deep Learning,Math,Deep Learning Specialist,B.Tech Computer Science
Technology,R,Statistics,Data Modeling,Data Scientist,B.Tech/M.Sc Statistics
Technology,Python,Big Data,Data Visualization,Big Data Engineer,B.Tech Computer Science
Technology,Hadoop,Data Processing,Data Mining,Big Data Specialist,B.Tech Computer Science
Technology,Python,Natural Language Processing,Reading, NLP Engineer,B.Tech Computer Science
Technology,Java,Spring Boot,Software Development,Backend Developer,B.Tech Computer Science
Technology,C#,ASP.NET,Web Apps,Backend Developer,B.Tech Computer Science
Technology,Python,AI Research,Math Modeling,AI Researcher,B.Tech Computer Science
Technology,JavaScript,React,UI/UX Design,Frontend Developer,B.Tech IT or Computer Science
Technology,UX Design,Wireframing,Sketching,UI/UX Designer,B.Des Graphic Design or IT
Technology,Python,Computer Vision,AI Projects,Computer Vision Engineer,B.Tech Computer Science
Technology,AR/VR,Unity,Game Development,AR/VR Developer,B.Tech Computer Science
Technology,Python,Reinforcement Learning,Gaming,AI Engineer,B.Tech Computer Science
Technology,Python,Robotics,Electronics,Robotics Engineer,B.Tech Computer Science
Technology,C++,Embedded Systems,Electronics,Embedded Systems Engineer,B.Tech Electronics or Computer Science
Technology,IoT,Smart Devices,Arduino,IoT Developer,B.Tech IT or Computer Science
Technology,Python,Data Visualization,Graphs,Data Visualization Specialist,B.Tech Computer Science
Technology,R,Data Analytics,Statistics,Data Analyst,B.Tech/M.Sc Statistics
Technology,Excel,Data Management,Finance,Data Analyst,B.Tech IT or Computer Science
Technology,Python,Web Scraping,Internet Research,Web Scraping Engineer,B.Tech IT or Computer Science
Technology,JavaScript,Node.js,Web Apps,Backend Developer,B.Tech Computer Science
Technology,PHP,Laravel,Web Apps,Web Developer,B.Tech Computer Science
Technology,HTML,CSS,Web Design,Web Designer,BCA/B.Tech IT
Technology,Java,Android Development,Mobile Apps,Android Developer,B.Tech Computer Science
Technology,Swift,iOS Development,App Design,iOS Developer,B.Tech Computer Science
Technology,C#,Unity,Game Design,Game Developer,B.Tech Computer Science
Technology,Python,Automation,Robotics,Automation Engineer,B.Tech Computer Science
Technology,SQL,Database Management,Data Organization,Database Administrator,B.Tech IT
Technology,Networking,Cisco Routers,Gaming,Network Engineer,B.Tech IT or Networking
Technology,Python,AI Chatbots,Coding,AI Developer,B.Tech Computer Science
Technology,Ruby,Rails,Web Apps,Web Developer,B.Tech Computer Science
Technology,Python,Deep Reinforcement Learning,Gaming,AI Engineer,B.Tech Computer Science
Technology,Java,Spring MVC,Software Dev,Backend Developer,B.Tech Computer Science
Technology,PHP,WordPress,Blogging,Web Developer,B.Tech Computer Science
Technology,Python,TensorFlow,AI Projects,ML Engineer,B.Tech Computer Science
Technology,Python,Keras,AI Research,Deep Learning Engineer,B.Tech Computer Science
Technology,R,Data Science,Visualization,Data Scientist,B.Tech/M.Sc Statistics
Technology,C++,C Embedded,Electronics,Embedded Systems Engineer,B.Tech Electronics
Technology,Python,Cloud Computing,Tech Gadgets,Cloud Engineer,B.Tech Computer Science
Technology,AWS,Cloud Deployment,Networking,Cloud Solutions Architect,B.Tech IT or Computer Science
Technology,Azure,Cloud Apps,Automation,Cloud Developer,B.Tech IT or Computer Science
Technology,Python,Data Engineering,ETL,Data Engineer,B.Tech Computer Science
Technology,Spark,Big Data Processing,Analytics,Big Data Engineer,B.Tech Computer Science
Technology,Hadoop,Distributed Systems,Data Processing,Big Data Specialist,B.Tech Computer Science
Technology,Python,AI NLP,Chatbots,NLP Engineer,B.Tech Computer Science
Technology,Python,Reinforcement Learning,Games,RL Engineer,B.Tech Computer Science
Technology,C++,Robotics,Electronics,Robotics Developer,B.Tech Computer Science
Technology,Python,IoT Devices,Arduino,IoT Engineer,B.Tech Computer Science
Technology,Cybersecurity,Network Security,Ethical Hacking,Cybersecurity Engineer,B.Tech Computer Science
Technology,Python,Penetration Testing,Challenges,Ethical Hacker,B.Tech Cybersecurity
Technology,Blockchain,Solidity,Crypto,Blockchain Developer,B.Tech Computer Science
Technology,Python,Smart Contracts,Blockchain,Blockchain Engineer,B.Tech Computer Science
Technology,Python,Machine Learning,AI Projects,ML Engineer,B.Tech Computer Science
Technology,Java,Android Apps,Mobile Gaming,Android Developer,B.Tech Computer Science
Technology,Swift,iOS Apps,App Development,iOS Developer,B.Tech Computer Science
Technology,JavaScript,ReactJS,UI Design,Frontend Developer,B.Tech IT
Technology,UX Design,Figma,Wireframing,UI/UX Designer,B.Des Graphic Design
Technology,C#,Unity 3D,Game Dev,Game Developer,B.Tech Computer Science
Technology,Python,Automation,Robotics,Automation Engineer,B.Tech IT
Technology,SQL,Database Management,Data Analysis,Database Administrator,B.Tech IT
Technology,Networking,Cisco Routers,Troubleshooting,Network Engineer,B.Tech IT
Technology,Python,AI Chatbots,Programming,AI Developer,B.Tech Computer Science
Technology,R,Data Analytics,Statistics,Data Analyst,B.Tech/M.Sc Statistics
Technology,Python,Deep Learning,AI Projects,Deep Learning Engineer,B.Tech Computer Science
Technology,C++,Embedded Systems,Electronics,Embedded Systems Engineer,B.Tech Electronics
Technology,IoT,Smart Devices,Arduino,IoT Developer,B.Tech IT
Technology,Python,Data Visualization,Graphs,Data Visualization Specialist,B.Tech Computer Science
Technology,Python,Web Scraping,Data Research,Web Scraping Engineer,B.Tech IT
Technology,JavaScript,Node.js,Web Development,Backend Developer,B.Tech Computer Science
Technology,PHP,Laravel,Web Apps,Web Developer,B.Tech Computer Science
Technology,HTML,CSS,Web Design,Web Designer,BCA/B.Tech IT
Technology,Python,Cloud Computing,Automation,Cloud Engineer,B.Tech Computer Science
Technology,AWS,Cloud Deployment,Networking,Cloud Solutions Architect,B.Tech IT
Technology,Azure,Cloud Apps,Automation,Cloud Developer,B.Tech IT
Technology,Python,Data Engineering,ETL,Data Engineer,B.Tech Computer Science
Technology,Spark,Big Data Processing,Analytics,Big Data Engineer,B.Tech Computer Science
Technology,Hadoop,Distributed Systems,Data Processing,Big Data Specialist,B.Tech Computer Science
Technology,Python,AI NLP,Chatbots,NLP Engineer,B.Tech Computer Science
Technology,Python,Reinforcement Learning,Games,RL Engineer,B.Tech Computer Science
Technology,C++,Robotics,Electronics,Robotics Developer,B.Tech Computer Science
Technology,Python,IoT Devices,Arduino,IoT Engineer,B.Tech Computer Science
Technology,Cybersecurity,Network Security,Ethical Hacking,Cybersecurity Engineer,B.Tech Computer Science
Technology,Python,Penetration Testing,Challenges,Ethical Hacker,B.Tech Cybersecurity
Technology,Blockchain,Solidity,Crypto,Blockchain Developer,B.Tech Computer Science
Technology,Python,Smart Contracts,Blockchain,Blockchain Engineer,B.Tech Computer Science
Technology,Python,Artificial Intelligence,Chess,AI Developer,B.Tech Computer Science
Technology,Python,Machine Learning,Math Puzzles,ML Engineer,B.Tech Computer Science
Technology,Python,Deep Learning,AI Competitions,Deep Learning Specialist,B.Tech Computer Science
Technology,R,Statistics,Data Analysis,Data Scientist,B.Tech/M.Sc Statistics
Technology,Python,Data Mining,Internet Research,Data Analyst,B.Tech Computer Science
Technology,SQL,Database Design,Data Management,Database Administrator,B.Tech IT
Technology,Java,Spring Boot,Backend Development,Backend Developer,B.Tech Computer Science
Technology,C#,ASP.NET,Web Apps,Backend Developer,B.Tech Computer Science
Technology,Python,Django,Web Development,Full Stack Developer,B.Tech Computer Science
Technology,JavaScript,React,UI/UX Design,Frontend Developer,B.Tech IT
Technology,HTML,CSS,Web Design,Web Designer,BCA/B.Tech IT
Technology,UX Design,Figma,Wireframing,UI/UX Designer,B.Des Graphic Design
Technology,C++,Embedded Systems,Electronics,Embedded Systems Engineer,B.Tech Electronics
Technology,IoT,Arduino,Robotics,IoT Developer,B.Tech IT
Technology,Python,Robotics,Electronics,Robotics Engineer,B.Tech Computer Science
Technology,Python,RPA,Automation,Automation Engineer,B.Tech IT
Technology,DevOps,Docker,CI/CD,DevOps Engineer,B.Tech IT
Technology,Kubernetes,Cloud Infrastructure,Tech Gadgets,Cloud Engineer,B.Tech IT
Technology,AWS,Cloud Deployment,Networking,Cloud Solutions Architect,B.Tech IT
Technology,Azure,Cloud Apps,Automation,Cloud Developer,B.Tech IT
Technology,Python,NLP,Chatbots,NLP Engineer,B.Tech Computer Science
Technology,Python,Reinforcement Learning,Games,RL Engineer,B.Tech Computer Science
Technology,Python,Computer Vision,AI Projects,Computer Vision Engineer,B.Tech Computer Science
Technology,Blockchain,Solidity,Smart Contracts,Blockchain Developer,B.Tech Computer Science
Technology,Ruby,Rails,Web Apps,Web Developer,B.Tech Computer Science
Technology,PHP,Laravel,Web Apps,Web Developer,B.Tech Computer Science
Technology,Python,Web Scraping,Internet Research,Web Scraping Engineer,B.Tech Computer Science
Technology,Python,Big Data,Data Analytics,Big Data Engineer,B.Tech Computer Science
Technology,Hadoop,Distributed Systems,Data Processing,Big Data Specialist,B.Tech Computer Science
Technology,Spark,Data Processing,Analytics,Big Data Engineer,B.Tech Computer Science
Technology,Cybersecurity,Ethical Hacking,CTF Challenges,Cybersecurity Analyst,B.Tech Computer Science
Technology,Python,Penetration Testing,Problem Solving,Ethical Hacker,B.Tech Cybersecurity
Technology,Networking,Cisco Routers,Troubleshooting,Network Engineer,B.Tech IT
Technology,Python,AI Research,Machine Learning,AI Researcher,B.Tech Computer Science
Technology,Java,Android Development,App Gaming,Android Developer,B.Tech Computer Science
Technology,Swift,iOS Development,App Design,iOS Developer,B.Tech Computer Science
Technology,C#,Unity,Game Development,Game Developer,B.Tech Computer Science
Technology,AR/VR,Unity,Game Design,AR/VR Developer,B.Tech Computer Science
Technology,Python,Automation,Robotics,Automation Engineer,B.Tech IT
Technology,SQL,Database Management,Data Organization,Database Administrator,B.Tech IT
Technology,Python,Cloud Computing,Automation,Cloud Engineer,B.Tech Computer Science
Technology,Python,Data Engineering,ETL,Data Engineer,B.Tech Computer Science
Technology,Python,AI Chatbots,Programming,AI Developer,B.Tech Computer Science
Technology,R,Data Analytics,Statistics,Data Analyst,B.Tech/M.Sc Statistics
Technology,JavaScript,Node.js,Web Development,Backend Developer,B.Tech Computer Science
Technology,C++,Game Development,Video Games,Game Developer,B.Tech Computer Science
Technology,Python,IoT Devices,Arduino,IoT Engineer,B.Tech IT
Technology,Python,Deep Learning,AI Projects,Deep Learning Engineer,B.Tech Computer Science
Technology,Python,Computer Vision,Robotics,Computer Vision Engineer,B.Tech Computer Science
Technology,Python,Reinforcement Learning,Games,RL Engineer,B.Tech Computer Science
Technology,Cybersecurity,Network Security,Ethical Hacking,Cybersecurity Engineer,B.Tech IT
Technology,Python,Penetration Testing,Challenges,Ethical Hacker,B.Tech Cybersecurity
Technology,Blockchain,Smart Contracts,Decentralized Apps,Blockchain Engineer,B.Tech Computer Science
Technology,Python,AI,Machine Learning,ML Engineer,B.Tech Computer Science
Technology,Java,Backend Dev,Problem Solving,Backend Developer,B.Tech Computer Science
Technology,PHP,Web Apps,Blogging,Web Developer,B.Tech Computer Science
Technology,HTML,CSS,Web Design,Web Designer,BCA/B.Tech IT
Technology,Python,Automation,Robotics,Automation Engineer,B.Tech IT
Technology,JavaScript,ReactJS,UI/UX Design,Frontend Developer,B.Tech IT
Technology,C#,Unity 3D,Game Development,Game Developer,B.Tech Computer Science
Technology,Python,Data Analytics,Excel,Data Analyst,B.Tech Computer Science
Technology,R,Statistics,Data Modeling,Data Scientist,B.Tech/M.Sc Statistics
Technology,Python,Machine Learning,AI Projects,ML Engineer,B.Tech Computer Science
Technology,Python,Deep Learning,Math,Deep Learning Specialist,B.Tech Computer Science
Technology,C++,Embedded Systems,Electronics,Embedded Systems Engineer,B.Tech Electronics
Technology,IoT,Smart Devices,Arduino,IoT Developer,B.Tech IT
Technology,Python,Data Visualization,Graphs,Data Visualization Specialist,B.Tech Computer Science
Technology,SQL,Database Administration,Data Management,Database Administrator,B.Tech IT
Technology,Networking,LAN/WAN,Troubleshooting,Network Engineer,B.Tech IT
Technology,Python,AI Chatbots,Programming,AI Developer,B.Tech Computer Science
Technology,Python,Web Scraping,Data Research,Web Scraping Engineer,B.Tech IT
Technology,Java,Spring Framework,Software Development,Backend Developer,B.Tech Computer Science
Technology,PHP,Web Apps,Blogging,Web Developer,B.Tech Computer Science
Technology,Cybersecurity,Firewall Management,Security,Security Analyst,B.Tech IT
Technology,Python,Data Science,Visualization,Data Scientist,B.Tech Computer Science
Technology,Python,Computer Vision,Robotics,Computer Vision Engineer,B.Tech Computer Science
Technology,Python,AI NLP,Chatbots,NLP Engineer,B.Tech Computer Science
Technology,Python,Reinforcement Learning,Games,RL Engineer,B.Tech Computer Science
Technology,AR/VR,Unity,Game Development,AR/VR Developer,B.Tech Computer Science
Technology,DevOps,Docker,CI/CD,DevOps Engineer,B.Tech IT
Technology,Kubernetes,Cloud Infrastructure,Automation,Cloud Engineer,B.Tech IT
Technology,AWS,Cloud Deployment,Networking,Cloud Solutions Architect,B.Tech IT
Technology,Azure,Cloud Apps,Automation,Cloud Developer,B.Tech IT
Technology,Python,AI Research,Machine Learning,AI Researcher,B.Tech Computer Science
Technology,C++,Game Development,Video Games,Game Developer,B.Tech Computer Science
Technology,Python,IoT,Smart Devices,IoT Engineer,B.Tech IT
Technology,Python,Data Engineering,ETL,Data Engineer,B.Tech Computer Science
Technology,Spark,Big Data Processing,Analytics,Big Data Engineer,B.Tech Computer Science
Technology,Hadoop,Distributed Systems,Data Processing,Big Data Specialist,B.Tech Computer Science
Technology,Python,Automation,AI Projects,Automation Developer,B.Tech IT
Technology,SQL,Database Management,Data Analysis,Database Administrator,B.Tech IT
Technology,Networking,Cisco Routers,Troubleshooting,Network Engineer,B.Tech IT
Technology,Python,AI Chatbots,Programming,AI Developer,B.Tech Computer Science
Technology,Python,Machine Learning,Math Puzzles,ML Engineer,B.Tech Computer Science
Technology,Python,Deep Learning,AI Competitions,Deep Learning Specialist,B.Tech Computer Science
Technology,R,Statistics,Data Analysis,Data Scientist,B.Tech/M.Sc Statistics
Technology,Programming,AI/ML,Coding,Software Developer,B.Tech Computer Science
Technology,Programming,Web Development,Gaming,Backend Developer,B.Tech Computer Science
Technology,Programming,Web Development,Design,Frontend Developer,B.Tech Computer Science
Technology,Programming,Data Analysis,Data Visualization,Data Scientist,B.Tech Computer Science
Technology,Programming,Cloud Computing,Tech Gadgets,Cloud Engineer,B.Tech IT
Technology,Data Analysis,Data Analysis,Statistics,Data Analyst,B.Tech/M.Sc Statistics
Technology,Data Analysis,Data Analysis,Excel,Data Analyst,B.Tech Computer Science
Technology,Data Analysis,Data Analysis,Internet Research,Data Analyst,B.Tech Computer Science
Technology,AI/ML,AI/ML,Robotics,ML Engineer,B.Tech Computer Science
Technology,AI/ML,AI/ML,Math,Deep Learning Specialist,B.Tech Computer Science
Technology,Web Development,Web Development,Design,Web Developer,B.Tech IT
Technology,Web Development,Web Development,Blogging,Web Developer,B.Tech IT
Technology,Web Development,Web Development,Programming,Full Stack Developer,B.Tech Computer Science
Technology,Cybersecurity,Cybersecurity,Challenges,Cybersecurity Analyst,B.Tech IT
Technology,Cybersecurity,Cybersecurity,Puzzles,Ethical Hacker,B.Tech Cybersecurity
Technology,Cloud,Cloud Computing,Automation,Cloud Engineer,B.Tech IT
Technology,Cloud,Cloud Computing,Networking,Cloud Solutions Architect,B.Tech IT
Technology,Cloud,Cloud Computing,Tech Gadgets,Cloud Developer,B.Tech IT
Technology,DevOps,DevOps,Automation,DevOps Engineer,B.Tech IT
Technology,DevOps,DevOps,Programming,DevOps Engineer,B.Tech IT
Technology,AI/ML,AI/ML,Games,RL Engineer,B.Tech Computer Science
Technology,AI/ML,AI/ML,AI Projects,Computer Vision Engineer,B.Tech Computer Science
Technology,Embedded Systems,Embedded Systems,Electronics,Embedded Systems Engineer,B.Tech Electronics
Technology,Embedded Systems,Embedded Systems,Arduino,IoT Developer,B.Tech IT
Technology,Embedded Systems,Embedded Systems,Robotics,Robotics Engineer,B.Tech Computer Science
Technology,Web Development,Web Development,UI/UX Design,Frontend Developer,B.Tech IT
Technology,Programming,AI/ML,Chess,AI Developer,B.Tech Computer Science
Technology,Data Analysis,Data Analysis,Graphs,Data Visualization Specialist,B.Tech Computer Science
Technology,Programming,AI/ML,Math Puzzles,ML Engineer,B.Tech Computer Science
Technology,Web Development,Web Development,WordPress,Web Developer,B.Tech IT
Technology,Cybersecurity,Cybersecurity,CTF Challenges,Cybersecurity Engineer,B.Tech IT
Technology,Cloud,Cloud Computing,Docker,Cloud Engineer,B.Tech IT
Technology,DevOps,DevOps,Kubernetes,DevOps Engineer,B.Tech IT
Technology,Programming,AI/ML,Python Projects,AI Developer,B.Tech Computer Science
Technology,Programming,Data Analysis,SQL,Database Administrator,B.Tech IT
Technology,Data Analysis,Data Analysis,ETL,Data Engineer,B.Tech Computer Science
Technology,Web Development,Web Development,JavaScript,Frontend Developer,B.Tech IT
Technology,Embedded Systems,Embedded Systems,IoT Devices,IoT Engineer,B.Tech IT
Technology,AI/ML,AI/ML,Deep Learning,Deep Learning Engineer,B.Tech Computer Science
Technology,Programming,Cloud Computing,Networking,Cloud Developer,B.Tech IT
Technology,Programming,AI/ML,Machine Learning,ML Engineer,B.Tech Computer Science
Technology,Web Development,Web Development,React,Frontend Developer,B.Tech IT
Technology,Data Analysis,Data Analysis,Analytics,Big Data Engineer,B.Tech Computer Science
Technology,Cybersecurity,Cybersecurity,Pen Testing,Ethical Hacker,B.Tech Cybersecurity
Technology,Programming,AI/ML,Robotics,AI Engineer,B.Tech Computer Science
Technology,Embedded Systems,Embedded Systems,Arduino,IoT Developer,B.Tech IT
Technology,Cloud,Cloud Computing,Automation,Cloud Engineer,B.Tech IT
Technology,DevOps,DevOps,CI/CD,DevOps Engineer,B.Tech IT
Technology,AI/ML,AI/ML,Programming,ML Engineer,B.Tech Computer Science
Technology,Data Analysis,Data Analysis,Visualization,Data Analyst,B.Tech Computer Science
Technology,Web Development,Web Development,Blogging,Web Developer,B.Tech IT
Technology,Programming,AI/ML,Coding,Software Developer,B.Tech Computer Science
Technology,Embedded Systems,Embedded Systems,Electronics,Embedded Systems Engineer,B.Tech Electronics

Career_category,Skill,Interests,Hobby,Career,Recommended_education
Arts & Media,Photography,Visual Arts,Photography,Photographer,BFA Photography or related field
Arts & Media,Graphic Design,Design,Sketching,Graphic Designer,B.Des Graphic Design
Arts & Media,Illustration,Drawing,Painting,Illustrator,BFA or related field
Arts & Media,Video Editing,Film & Media,Video Projects,Video Editor,BFA Film or related field
Arts & Media,Animation,Animation,Sketching,Animator,B.Des Animation
Arts & Media,UI/UX Design,Design,Digital Art,UI/UX Designer,B.Des Graphic Design or related field
Arts & Media,Writing,Storytelling,Reading,Content Writer,Graduation in English or Journalism
Arts & Media,Journalism,Media,News Writing,Journalist,BA Journalism or Mass Communication
Arts & Media,Acting,Performing Arts,Theatre,Actor,BFA Acting or related field
Arts & Media,Dance,Dance,Choreography,Dancer,BFA Dance
Arts & Media,Music,Performing Arts,Singing,Musician,B.Music or related field
Arts & Media,Film Direction,Film & Media,Storytelling,Film Director,BFA Film or related field
Arts & Media,Editing,Media,Video Projects,Editor,BFA Film or Media
Arts & Media,Photography,Visual Arts,Travel,Travel Photographer,BFA Photography
Arts & Media,Graphic Design,Design,Branding,Brand Designer,B.Des Graphic Design
Arts & Media,Animation,Animation,Cartoons,Animator,B.Des Animation
Arts & Media,Writing,Storytelling,Creative Writing,Author,Graduation in English or Journalism
